gene	phenotyp
ADCY5	Dyskinesia-with-orofacial-involvement,-autosomal-dominant,-606703-(3),-Autosomal-dominant;-Neurodevelopmental-disorder-with-hyperkinetic-movements-and-dyskinesia,-619651-(3),-Autosomal-recessive;-Dyskinesia-with-orofacial-involvement,-autosomal-recessive,-619647-(3),-Autosomal-recessive
ADCY6	Lethal-congenital-contracture-syndrome-8,-616287-(3),-Autosomal-recessive
ADD1	{Hypertension,-essential,-salt-sensitive},-145500-(3),-Multifactorial
ADD3	Cerebral-palsy,-spastic-quadriplegic,-3,-617008-(3),-Autosomal-recessive
ADGRE2	Vibratory-urticaria,-125630-(3),-Autosomal-dominant
ADGRF3,SELENOI	Spastic-paraplegia-81,-autosomal-recessive,-618768-(3),-Autosomal-recessive
ADGRG1	Cortical-dysplasia,-complex,-with-other-brain-malformations-14B,-(bilateral-perisylvian),-615752-(3);-Cortical-dysplasia,-complex,-with-other-brain-malformations-14A,-(bilateral-frontoparietal),-606854-(3),-Autosomal-recessive
ADGRG2	Congenital-bilateral-absence-of-vas-deferens,-X-linked,-300985-(3),-X-linked
ADGRG6	Lethal-congenital-contracture-syndrome-9,-616503-(3),-Autosomal-recessive
ADGRL1	Developmental-delay,-behavioral-abnormalities,-and-neuropsychiatric-disorders,-620065-(3),-Autosomal-dominant
ADGRV1	Usher-syndrome,-type-2C,-605472-(3),-Digenic-dominant,-Autosomal-recessive;-Usher-syndrome,-type-2C,-GPR98/PDZD7-digenic,-605472-(3),-Digenic-dominant,-Autosomal-recessive;-?Febrile-seizures,-familial,-4,-604352-(3),-Autosomal-dominant
ADH1B	{Aerodigestive-tract-cancer,-squamous-cell,-alcohol-related,-protection-against},-103780-(3),-Multifactorial;-{Alcohol-dependence,-protection-against},-103780-(3),-Multifactorial
ADH1B,ADH1C	{Alcohol-dependence,-protection-against},-103780-(3),-Multifactorial;-{Parkinson-disease,-susceptibility-to},-168600-(3),-Multifactorial,-Autosomal-dominant
ADH1C	{Alcohol-dependence,-protection-against},-103780-(3),-Multifactorial;-{Parkinson-disease,-susceptibility-to},-168600-(3),-Multifactorial,-Autosomal-dominant
ADH5	AMED-syndrome,-digenic,-619151-(3),-Digenic-recessive
ADIPOQ	Adiponectin-deficiency,-612556-(3),-Autosomal-dominant
ADK	Hypermethioninemia-due-to-adenosine-kinase-deficiency,-614300-(3),-Autosomal-recessive
ADNP	Helsmoortel-van-der-Aa-syndrome,-615873-(3),-Autosomal-dominant
